bathroomcnt,bedroomcnt,calculatedfinishedsquarefeet,taxvaluedollarcnt,yearbuilt,taxamount,fips,transactiondate,County
2.0,3,1387,65552,1955,966.68,6059,2017-01-12,Orange County
3.0,4,2077,482767,1935,5868.09,6037,2017-01-12,Los Angeles County
3.0,5,2136,476361,1959,6082.36,6037,2017-01-12,Los Angeles County
2.0,4,1804,629454,1944,7630.29,6037,2017-01-12,Los Angeles County
2.0,2,913,249000,1984,3098.32,6037,2017-01-12,Los Angeles County
2.0,3,1454,353534,1979,3756.76,6111,2017-01-12,Ventura County
1.0,1,700,271950,1924,3476.15,6037,2017-01-12,Los Angeles County
1.0,4,1360,117352,1972,1685.78,6059,2017-01-12,Orange County
2.0,4,1250,195535,1954,2399.31,6037,2017-01-12,Los Angeles County
1.0,3,1230,321665,1929,4166.11,6037,2017-01-12,Los Angeles County
2.0,2,1202,682719,1953,8277.54,6037,2017-01-12,Los Angeles County
3.0,5,1623,568540,1958,6562.54,6059,2017-01-12,Orange County
2.0,3,1541,255000,2007,3951.7,6037,2017-01-12,Los Angeles County
2.0,4,1308,186233,1957,2476.65,6037,2017-01-12,Los Angeles County
3.0,3,1738,458000,1999,5155.04,6111,2017-01-12,Ventura County
3.0,4,2754,557671,2001,6365.08,6111,2017-01-12,Ventura County
2.0,3,1827,97506,1964,1327.17,6037,2017-01-12,Los Angeles County
2.5,3,1404,342037,1973,4306.0,6059,2017-01-12,Orange County
1.0,2,866,34631,1954,730.24,6059,2017-01-12,Orange County
1.0,2,825,346902,1948,4558.67,6037,2017-01-12,Los Angeles County
1.0,2,930,403446,1952,4851.27,6037,2017-01-12,Los Angeles County
2.0,3,1200,378787,1954,4597.96,6037,2017-01-12,Los Angeles County
2.0,4,2362,98331,1926,1456.69,6037,2017-01-12,Los Angeles County
2.0,3,1164,162000,1990,2871.49,6037,2017-01-12,Los Angeles County
1.0,4,1338,55546,1959,1008.11,6037,2017-01-12,Los Angeles County
2.0,3,1897,71397,1937,1067.79,6037,2017-01-12,Los Angeles County
2.0,3,1908,140689,2005,2332.79,6037,2017-01-12,Los Angeles County
2.5,3,1690,354023,1989,4024.46,6059,2017-01-12,Orange County
2.0,3,1542,488653,1971,6192.89,6037,2017-01-12,Los Angeles County
4.0,6,3298,221977,1966,2845.71,6037,2017-01-12,Los Angeles County
2.0,3,1958,241000,2007,4756.03,6037,2017-01-12,Los Angeles County
2.5,4,1794,100458,1974,1350.46,6059,2017-01-12,Orange County
3.5,5,3128,947000,1976,10753.6,6111,2017-01-12,Ventura County
1.0,2,1006,55188,1918,1173.59,6037,2017-01-12,Los Angeles County
2.0,3,1059,329780,1962,4431.82,6059,2017-01-12,Orange County
1.0,2,1207,55254,1939,741.96,6037,2017-01-12,Los Angeles County
2.5,4,2369,129615,1964,1663.94,6059,2017-01-12,Orange County
3.0,3,2791,325376,1964,4115.77,6037,2017-01-12,Los Angeles County
2.5,5,2328,97551,1966,1331.06,6059,2017-01-12,Orange County
3.5,3,3076,481476,1990,4508.94,6059,2017-01-11,Orange County
2.0,2,1623,478726,1924,7034.02,6037,2017-01-11,Los Angeles County
1.0,3,947,407998,1947,4952.96,6037,2017-01-11,Los Angeles County
1.0,1,816,30599,1936,407.91,6037,2017-01-11,Los Angeles County
2.0,3,1272,72433,1964,1306.29,6037,2017-01-11,Los Angeles County
2.5,4,2161,330226,1977,3389.0,6059,2017-01-11,Orange County
3.0,3,2496,741200,1959,9090.3,6037,2017-01-11,Los Angeles County
1.0,2,724,235118,1926,2819.39,6037,2017-01-11,Los Angeles County
2.0,3,1329,124876,1977,1319.88,6059,2017-01-11,Orange County
3.0,4,1987,434811,1976,4497.78,6059,2017-01-11,Orange County
1.0,2,720,406099,1948,5503.42,6037,2017-01-11,Los Angeles County
1.0,3,1008,192111,1947,2792.14,6037,2017-01-11,Los Angeles County
1.0,3,1072,374000,1950,4768.8,6037,2017-01-11,Los Angeles County
2.5,4,1686,189534,1962,2414.88,6111,2017-01-11,Ventura County
2.0,3,1736,439400,1967,6102.04,6037,2017-01-11,Los Angeles County
3.0,3,2735,689574,1986,6925.88,6059,2017-01-11,Orange County
2.0,3,1976,403193,1955,5099.43,6037,2017-01-11,Los Angeles County
1.0,2,749,153005,1950,2220.38,6037,2017-01-11,Los Angeles County
2.0,3,1470,399808,1942,4808.28,6037,2017-01-11,Los Angeles County
1.0,3,1120,67850,1923,844.37,6037,2017-01-11,Los Angeles County
2.0,3,1175,296847,1956,3576.24,6037,2017-01-11,Los Angeles County
3.0,4,1813,259061,1947,3174.9,6037,2017-01-11,Los Angeles County
1.0,2,775,253000,1946,3229.75,6037,2017-01-11,Los Angeles County
1.0,3,1108,380000,1951,4385.6,6037,2017-01-11,Los Angeles County
2.0,3,1601,971425,1935,11791.32,6037,2017-01-11,Los Angeles County
2.0,3,1285,451596,1956,5224.38,6059,2017-01-11,Orange County
2.0,4,2404,216611,1911,2738.79,6037,2017-01-11,Los Angeles County
3.0,5,2305,251082,2007,3073.96,6059,2017-01-11,Orange County
1.0,3,1102,324675,1958,3848.26,6037,2017-01-11,Los Angeles County
2.0,4,1320,54543,1959,1194.02,6037,2017-01-11,Los Angeles County
3.0,5,2694,337206,1962,4119.36,6059,2017-01-11,Orange County
2.0,3,1830,538803,1927,6561.82,6037,2017-01-11,Los Angeles County
1.0,2,837,273690,1949,3399.86,6059,2017-01-11,Orange County
2.0,3,1222,251828,1954,3296.45,6037,2017-01-11,Los Angeles County
1.0,2,929,254327,1950,3138.71,6037,2017-01-11,Los Angeles County
4.0,4,2908,1206396,1978,13682.09,6037,2017-01-11,Los Angeles County
4.0,5,2748,347112,1984,4155.77,6037,2017-01-11,Los Angeles County
2.5,3,2374,571680,2003,6828.34,6059,2017-01-11,Orange County
2.0,3,1159,372315,1954,4414.25,6037,2017-01-11,Los Angeles County
2.5,4,2178,514672,1977,5321.78,6059,2017-01-11,Orange County
2.0,3,1938,194058,1963,2552.05,6037,2017-01-11,Los Angeles County
1.0,3,888,369568,1952,4376.03,6037,2017-01-11,Los Angeles County
1.0,2,864,385000,1963,4566.24,6059,2017-01-11,Orange County
2.0,3,1612,930943,1956,10651.12,6037,2017-01-11,Los Angeles County
3.0,4,2328,912900,1940,10123.12,6037,2017-01-11,Los Angeles County
2.5,3,1984,507269,1955,5082.6,6059,2017-01-11,Orange County
1.0,3,2005,96932,1954,1345.54,6037,2017-01-11,Los Angeles County
3.0,4,2101,325163,1985,4075.62,6037,2017-01-11,Los Angeles County
2.0,4,1222,310659,1957,4331.15,6037,2017-01-11,Los Angeles County
2.0,3,1203,605000,1951,6703.33,6037,2017-01-11,Los Angeles County
2.0,4,1615,175797,1990,3006.91,6037,2017-01-11,Los Angeles County
2.0,3,1296,113161,1977,1454.5,6059,2017-01-11,Orange County
2.0,2,980,304575,1928,3881.02,6037,2017-01-11,Los Angeles County
1.0,2,907,222816,1950,2981.21,6037,2017-01-11,Los Angeles County
2.0,4,1633,403856,1965,5438.54,6037,2017-01-11,Los Angeles County
3.0,3,1482,751284,1941,8310.76,6037,2017-01-11,Los Angeles County
3.0,4,2763,199490,1975,2749.19,6037,2017-01-11,Los Angeles County
2.5,4,1766,265884,1984,3109.82,6111,2017-01-11,Ventura County
3.0,4,3008,848828,1993,9254.3,6111,2017-01-11,Ventura County
3.0,4,2547,599485,1966,7461.95,6037,2017-01-11,Los Angeles County
1.0,2,957,48324,1911,742.17,6037,2017-01-11,Los Angeles County
2.0,3,1510,623097,1958,7789.44,6037,2017-01-11,Los Angeles County
2.0,3,1393,214330,1983,3319.21,6037,2017-01-11,Los Angeles County
3.0,4,2615,943167,1995,9493.58,6059,2017-01-11,Orange County
2.5,3,2003,460481,1983,4691.28,6059,2017-01-11,Orange County
1.0,4,1781,220631,2012,3621.01,6037,2017-01-11,Los Angeles County
2.0,4,1574,412191,1954,5101.03,6037,2017-01-11,Los Angeles County
1.0,2,1668,751285,1949,9125.11,6037,2017-01-11,Los Angeles County
2.0,3,1798,890558,1948,12238.47,6037,2017-01-11,Los Angeles County
1.0,2,896,25837,1909,545.39,6037,2017-01-11,Los Angeles County
3.0,6,3136,512524,1997,5042.88,6059,2017-01-11,Orange County
3.0,4,3142,690442,1980,7060.76,6059,2017-01-11,Orange County
2.0,3,1290,440101,1955,5454.34,6037,2017-01-11,Los Angeles County
1.0,2,796,378787,1940,4875.92,6037,2017-01-11,Los Angeles County
2.0,2,1323,402224,1986,4185.16,6059,2017-01-11,Orange County
5.5,5,4412,860256,1998,9106.54,6059,2017-01-11,Orange County
3.0,5,2981,655440,1999,8813.23,6037,2017-01-11,Los Angeles County
1.0,3,1045,353537,1954,4614.46,6037,2017-01-11,Los Angeles County
3.0,5,1813,311205,1960,4236.88,6059,2017-01-11,Orange County
2.0,4,1913,244802,2011,3888.31,6037,2017-01-11,Los Angeles County
4.0,4,4039,1143171,2015,21915.43,6037,2017-01-11,Los Angeles County
3.0,5,2470,727000,1972,8874.66,6037,2017-01-11,Los Angeles County
2.0,3,1221,374482,1951,4602.3,6037,2017-01-11,Los Angeles County
1.0,2,795,270560,1950,3629.68,6037,2017-01-11,Los Angeles County
1.0,3,1228,68302,1950,1392.26,6037,2017-01-11,Los Angeles County
2.0,3,1372,200767,1956,2513.48,6059,2017-01-11,Orange County
2.0,3,1472,379265,1963,4648.27,6037,2017-01-11,Los Angeles County
2.0,4,2057,1386417,1958,16750.93,6037,2017-01-11,Los Angeles County
2.0,2,1055,86337,1986,1879.17,6037,2017-01-11,Los Angeles County
2.0,4,2098,340200,1955,4319.72,6037,2017-01-11,Los Angeles County
2.0,3,1886,536475,1987,7528.92,6111,2017-01-11,Ventura County
1.0,4,2546,603334,1915,7452.19,6037,2017-01-11,Los Angeles County
2.0,3,1972,244037,1992,3883.38,6037,2017-01-11,Los Angeles County
2.0,3,1353,129412,1955,1748.2,6059,2017-01-11,Orange County
1.0,2,808,178029,1925,2401.71,6037,2017-01-11,Los Angeles County
2.0,3,1196,342168,1958,4080.19,6037,2017-01-11,Los Angeles County
1.0,2,797,308444,1950,3932.2,6059,2017-01-11,Orange County
2.0,4,1257,178088,1955,2329.46,6037,2017-01-11,Los Angeles County
3.0,3,1721,893041,1966,10758.63,6037,2017-01-11,Los Angeles County
1.0,2,970,340000,1950,4183.98,6037,2017-01-11,Los Angeles County
3.0,3,1860,187545,1992,3223.7,6037,2017-01-11,Los Angeles County
2.0,2,1793,146172,1954,1832.59,6037,2017-01-11,Los Angeles County
2.0,3,1209,185000,1987,3065.01,6037,2017-01-11,Los Angeles County
1.0,2,942,32050,1908,629.55,6037,2017-01-11,Los Angeles County
3.0,4,3092,1380739,1957,16801.97,6037,2017-01-11,Los Angeles County
5.0,4,3828,817802,1969,9877.4,6037,2017-01-11,Los Angeles County
3.0,5,3304,665343,1991,7915.88,6059,2017-01-11,Orange County
3.0,4,2092,557194,1974,6584.1,6037,2017-01-11,Los Angeles County
2.0,4,1433,392542,1978,5288.94,6037,2017-01-11,Los Angeles County
3.5,4,4976,767551,2005,8952.4,6059,2017-01-11,Orange County
2.0,3,1412,93146,1941,1246.18,6037,2017-01-11,Los Angeles County
2.0,4,1352,75588,1912,1098.13,6037,2017-01-11,Los Angeles County
2.5,4,2411,181858,1977,2581.78,6111,2017-01-11,Ventura County
2.5,3,1958,657839,1963,7005.82,6111,2017-01-11,Ventura County
2.0,4,1178,223459,1951,2864.03,6037,2017-01-11,Los Angeles County
3.0,3,2287,753587,1978,9115.66,6037,2017-01-11,Los Angeles County
2.5,4,2990,599991,1982,7187.12,6059,2017-01-11,Orange County
2.0,2,1080,130028,1973,1559.5,6037,2017-01-11,Los Angeles County
2.0,4,1826,609178,1970,7045.96,6059,2017-01-11,Orange County
2.0,3,2309,1283856,1939,15898.33,6037,2017-01-11,Los Angeles County
2.0,3,1425,185679,1990,2529.6,6037,2017-01-11,Los Angeles County
3.0,3,1344,288913,2013,4962.0,6037,2017-01-11,Los Angeles County
2.5,4,2722,402014,1968,4874.0,6059,2017-01-11,Orange County
1.0,2,1403,428209,1948,4734.5,6059,2017-01-11,Orange County
2.0,2,1110,406000,1981,5068.84,6059,2017-01-11,Orange County
1.0,2,815,267338,1950,3539.18,6037,2017-01-11,Los Angeles County
1.0,3,1218,428201,1954,5380.0,6037,2017-01-11,Los Angeles County
2.0,2,1140,153848,1987,2437.14,6037,2017-01-11,Los Angeles County
1.0,3,1293,74713,1930,844.94,6037,2017-01-11,Los Angeles County
2.5,3,1367,253159,1984,2864.06,6111,2017-01-11,Ventura County
2.0,3,1674,1218300,1923,26657.13,6037,2017-01-11,Los Angeles County
1.0,2,925,317972,1971,3761.86,6059,2017-01-11,Orange County
1.0,4,1648,241443,1909,2848.32,6037,2017-01-11,Los Angeles County
1.0,2,810,239289,1950,2960.83,6037,2017-01-11,Los Angeles County
1.0,4,1452,190938,1956,2583.5,6037,2017-01-11,Los Angeles County
2.0,4,2152,377405,1970,3995.92,6111,2017-01-11,Ventura County
2.5,3,1658,491216,1973,5551.46,6059,2017-01-11,Orange County
1.0,2,1227,312066,1948,3652.94,6111,2017-01-11,Ventura County
1.0,3,1300,400000,1952,4905.31,6037,2017-01-11,Los Angeles County
3.0,4,3206,359107,1970,4650.75,6037,2017-01-11,Los Angeles County
3.0,5,2992,500504,1988,6535.8,6037,2017-01-11,Los Angeles County
2.0,4,1386,436557,1968,5153.28,6059,2017-01-11,Orange County
1.0,3,1598,50277,1929,907.06,6037,2017-01-11,Los Angeles County
3.0,3,1733,223700,1990,3610.43,6037,2017-01-11,Los Angeles County
2.0,3,1319,390328,1956,4587.13,6037,2017-01-11,Los Angeles County
3.0,4,2470,613876,1989,7576.69,6037,2017-01-11,Los Angeles County
2.0,3,1589,985000,1947,11973.88,6037,2017-01-11,Los Angeles County
2.0,3,1447,416667,1949,5284.12,6037,2017-01-11,Los Angeles County
2.0,3,1156,459000,1977,4844.66,6111,2017-01-11,Ventura County
1.0,1,572,122119,1922,1562.95,6037,2017-01-11,Los Angeles County
2.5,3,1780,305488,1976,3707.08,6059,2017-01-11,Orange County
3.0,5,2972,746208,1984,9258.54,6059,2017-01-11,Orange County
2.0,3,1277,65551,1960,1088.22,6059,2017-01-11,Orange County
3.0,3,3307,643233,1987,7238.38,6059,2017-01-11,Orange County
2.0,3,1480,97162,1957,1209.41,6037,2017-01-11,Los Angeles County
2.0,3,1286,267065,1960,3239.34,6059,2017-01-11,Orange County
1.0,4,1480,63732,1922,1159.42,6037,2017-01-11,Los Angeles County
3.0,4,2303,963046,1985,11286.77,6037,2017-01-11,Los Angeles County
3.0,5,1832,342818,1961,4122.16,6059,2017-01-11,Orange County
1.0,3,1104,37437,1951,822.23,6037,2017-01-11,Los Angeles County
3.0,4,2990,1475000,1955,17779.58,6037,2017-01-11,Los Angeles County
2.0,4,1885,201596,1994,3310.73,6037,2017-01-11,Los Angeles County
1.0,2,1068,213245,1920,2750.45,6037,2017-01-11,Los Angeles County
3.0,3,4327,134360,1951,2288.76,6037,2017-01-11,Los Angeles County
4.0,5,2776,477465,2006,8406.47,6037,2017-01-11,Los Angeles County
2.0,4,1713,243265,1948,3093.67,6037,2017-01-11,Los Angeles County
1.0,2,900,47374,1940,939.31,6037,2017-01-11,Los Angeles County
4.0,4,3229,620000,1980,7576.41,6037,2017-01-11,Los Angeles County
2.0,3,1788,228431,1983,4897.96,6037,2017-01-11,Los Angeles County
3.0,3,2639,90867,1949,885.46,6059,2017-01-11,Orange County
1.0,3,1369,406100,1953,5060.87,6037,2017-01-11,Los Angeles County
2.0,3,1540,71577,1962,1013.1,6059,2017-01-11,Orange County
1.0,3,902,124262,1952,2251.03,6037,2017-01-11,Los Angeles County
3.0,3,1701,126435,1951,1839.16,6037,2017-01-11,Los Angeles County
3.0,4,2243,409619,1983,4982.59,6037,2017-01-11,Los Angeles County
1.0,3,1301,319803,1946,6349.16,6037,2017-01-11,Los Angeles County
2.0,3,1428,418171,1961,6371.41,6037,2017-01-11,Los Angeles County
2.0,3,1754,88381,1963,1370.78,6037,2017-01-11,Los Angeles County
2.0,3,1258,914739,1923,9965.36,6037,2017-01-11,Los Angeles County
1.0,3,1088,37848,1925,977.36,6037,2017-01-11,Los Angeles County
1.0,3,1174,64356,1952,1015.13,6037,2017-01-11,Los Angeles County
2.0,3,1608,64833,1955,1720.5,6059,2017-01-11,Orange County
2.0,2,1602,406100,1949,5218.27,6037,2017-01-11,Los Angeles County
2.0,2,1391,1267429,1957,15242.96,6037,2017-01-11,Los Angeles County
3.0,4,3124,502000,2005,6854.47,6037,2017-01-11,Los Angeles County
2.0,3,1731,607981,1921,7181.7,6037,2017-01-11,Los Angeles County
2.0,4,1665,76372,1969,1037.21,6037,2017-01-11,Los Angeles County
2.0,3,2160,213955,1938,3003.23,6037,2017-01-11,Los Angeles County
2.0,4,1608,436156,1964,4647.46,6111,2017-01-11,Ventura County
3.0,3,2015,86725,1962,1610.64,6037,2017-01-11,Los Angeles County
3.0,5,2936,640115,1966,6888.9,6059,2017-01-11,Orange County
2.5,3,1540,494545,1973,5382.9,6059,2017-01-11,Orange County
1.0,5,2413,500000,1953,5852.12,6059,2017-01-11,Orange County
2.0,3,1222,340203,1968,4570.42,6037,2017-01-11,Los Angeles County
2.0,3,1574,163417,1990,3013.96,6037,2017-01-11,Los Angeles County
3.0,5,2131,272697,1983,3784.14,6037,2017-01-11,Los Angeles County
2.0,4,1878,420242,1929,5201.0,6037,2017-01-11,Los Angeles County
2.0,3,1866,539333,1953,6760.9,6037,2017-01-11,Los Angeles County
2.0,3,1867,198419,1938,2209.44,6037,2017-01-10,Los Angeles County
1.0,2,1312,74190,1960,1018.72,6037,2017-01-10,Los Angeles County
2.5,4,2076,276576,1962,3351.18,6111,2017-01-10,Ventura County
3.0,3,2538,878288,1966,9635.37,6037,2017-01-10,Los Angeles County
2.5,4,2761,556255,1998,8381.04,6059,2017-01-10,Orange County
2.5,3,1371,404542,2012,4705.74,6111,2017-01-10,Ventura County
2.0,3,1676,283892,1940,3151.85,6037,2017-01-10,Los Angeles County
3.0,4,2352,293034,1989,3839.25,6037,2017-01-10,Los Angeles County
1.0,2,1103,185917,1936,2317.18,6037,2017-01-10,Los Angeles County
3.0,4,2708,516871,1964,6091.05,6037,2017-01-10,Los Angeles County
4.0,3,2447,917223,1942,11337.29,6037,2017-01-10,Los Angeles County
1.0,3,952,43026,1953,628.32,6037,2017-01-10,Los Angeles County
2.0,4,1209,90868,1954,1287.21,6037,2017-01-10,Los Angeles County
2.0,3,1822,390202,1995,4557.12,6111,2017-01-10,Ventura County
3.0,3,2276,433432,2012,5413.1,6037,2017-01-10,Los Angeles County
2.0,4,1323,453000,1964,5235.32,6111,2017-01-10,Ventura County
2.0,4,1339,298371,1977,3714.58,6037,2017-01-10,Los Angeles County
2.0,2,1231,161897,1950,2031.39,6037,2017-01-10,Los Angeles County
3.0,5,3008,472384,1995,7234.74,6059,2017-01-10,Orange County
1.0,2,996,58693,1940,751.66,6037,2017-01-10,Los Angeles County
2.0,4,1329,62194,1944,886.96,6037,2017-01-10,Los Angeles County
2.5,3,1666,362552,1997,4252.28,6111,2017-01-10,Ventura County
1.0,3,1568,57311,1919,855.82,6037,2017-01-10,Los Angeles County
1.0,2,836,62411,1939,697.79,6037,2017-01-10,Los Angeles County
3.0,4,2541,880456,2003,9819.72,6059,2017-06-01,Orange County
3.0,4,2541,880456,2003,9819.72,6059,2017-01-10,Orange County
5.0,4,3563,1352708,2009,16415.0,6037,2017-01-10,Los Angeles County
2.0,3,1300,105152,1945,1400.67,6037,2017-01-10,Los Angeles County
2.0,3,1615,417432,1941,5132.56,6037,2017-01-10,Los Angeles County
5.0,5,3682,580891,1978,7096.43,6037,2017-01-10,Los Angeles County
1.0,2,874,447063,1940,4895.64,6037,2017-01-10,Los Angeles County
1.0,2,1166,318269,1941,3934.53,6037,2017-01-10,Los Angeles County
3.0,3,3458,1128173,1955,13828.69,6037,2017-01-10,Los Angeles County
3.0,3,2273,913724,1937,10048.09,6037,2017-01-10,Los Angeles County
2.0,3,1515,742000,1951,8141.01,6037,2017-01-10,Los Angeles County
1.0,2,1032,1218300,1924,14703.55,6037,2017-01-10,Los Angeles County
5.0,5,4086,943847,1988,11693.56,6037,2017-01-10,Los Angeles County
2.0,4,2097,110131,1924,1501.01,6037,2017-01-10,Los Angeles County
1.0,4,1400,1294443,1923,15553.92,6037,2017-01-10,Los Angeles County
1.0,1,600,449245,1955,5447.59,6037,2017-01-10,Los Angeles County
2.5,4,2035,261784,1970,3210.74,6111,2017-01-10,Ventura County
2.5,3,1677,229948,1984,2388.04,6059,2017-01-10,Orange County
2.0,3,1578,1081322,1948,13029.25,6037,2017-01-10,Los Angeles County
3.0,4,2176,175867,1953,2282.76,6037,2017-01-10,Los Angeles County
3.0,3,2158,464000,1991,7100.7,6037,2017-01-10,Los Angeles County
2.0,3,1792,452614,1977,4528.02,6059,2017-01-10,Orange County
2.5,4,1721,266714,1997,2864.14,6111,2017-01-10,Ventura County
3.0,4,2700,1225600,2002,14713.55,6037,2017-01-10,Los Angeles County
2.0,3,1032,314801,1925,4390.74,6037,2017-01-10,Los Angeles County
1.0,2,794,1319825,1952,14697.81,6037,2017-01-10,Los Angeles County
2.0,3,1879,654000,1951,7888.36,6059,2017-01-10,Orange County
2.0,3,1316,219386,1961,2809.57,6037,2017-01-10,Los Angeles County
2.0,3,1359,319978,1960,6025.23,6037,2017-01-10,Los Angeles County
2.0,2,1236,588000,1952,7118.37,6037,2017-01-10,Los Angeles County
1.0,2,931,243349,1954,3138.7,6037,2017-01-10,Los Angeles County
1.5,3,1000,315758,1955,3900.46,6059,2017-01-10,Orange County
4.0,4,4494,963436,1941,11945.88,6037,2017-01-10,Los Angeles County
2.5,4,2579,1242641,2000,13622.6,6059,2017-01-10,Orange County
1.0,3,1504,293621,1926,3679.33,6037,2017-01-10,Los Angeles County
2.0,4,2513,400000,2005,5992.07,6037,2017-01-10,Los Angeles County
2.0,4,1476,223714,2003,2856.37,6037,2017-01-10,Los Angeles County
1.0,2,1212,270457,1949,3484.69,6037,2017-01-10,Los Angeles County
3.0,6,3230,395573,1992,5476.58,6037,2017-01-10,Los Angeles County
1.0,2,760,221860,1926,2871.36,6037,2017-01-10,Los Angeles County
4.5,5,4099,887450,1985,9741.8,6111,2017-01-10,Ventura County
2.0,4,1348,495442,1955,6174.04,6059,2017-01-10,Orange County
2.5,4,1936,435823,1986,5768.74,6111,2017-01-10,Ventura County
1.0,2,1022,401000,1951,5056.55,6037,2017-01-10,Los Angeles County
4.0,5,3458,954934,1978,11815.91,6037,2017-01-10,Los Angeles County
2.5,4,1863,449692,2015,10673.1,6111,2017-01-10,Ventura County
1.0,2,964,53793,1941,1068.0,6037,2017-01-10,Los Angeles County
1.0,3,914,58877,1953,1470.38,6037,2017-01-10,Los Angeles County
2.0,4,1393,85279,1954,1719.15,6037,2017-01-10,Los Angeles County
2.0,3,1316,271716,1957,3430.64,6059,2017-01-10,Orange County
2.0,3,1498,300722,1952,3907.53,6037,2017-01-10,Los Angeles County
2.0,3,1501,223761,1988,3682.34,6037,2017-01-10,Los Angeles County
2.0,3,1391,58131,1958,900.22,6059,2017-01-10,Orange County
1.0,2,846,97495,1928,1053.16,6111,2017-01-10,Ventura County
1.0,3,1026,287013,1950,3649.01,6037,2017-01-10,Los Angeles County
2.0,3,1216,103582,1956,2138.31,6037,2017-01-10,Los Angeles County
1.0,2,1090,54618,1926,926.39,6037,2017-01-10,Los Angeles County
1.0,2,906,310693,1942,4041.29,6037,2017-01-10,Los Angeles County
1.5,3,1050,50559,1963,824.22,6059,2017-01-10,Orange County
2.0,3,1409,295907,1962,3519.46,6059,2017-01-10,Orange County
1.0,2,1492,60419,1940,839.2,6037,2017-01-10,Los Angeles County
3.0,4,2150,161318,1976,1580.3,6059,2017-01-10,Orange County
3.0,5,2411,562121,1964,7087.4,6059,2017-01-10,Orange County
2.0,3,1331,507625,1957,6131.56,6059,2017-01-10,Orange County
3.0,3,1793,195738,1987,3232.0,6037,2017-01-10,Los Angeles County
3.0,4,3055,130000,1967,1649.62,6059,2017-01-10,Orange County
2.0,4,1828,559526,1968,5891.44,6111,2017-01-10,Ventura County
1.0,2,1315,401880,1952,4986.88,6037,2017-01-10,Los Angeles County
2.0,3,1682,416252,1918,5149.49,6037,2017-01-10,Los Angeles County
2.0,4,1386,58921,1957,670.84,6111,2017-01-10,Ventura County
2.0,4,2113,396040,1962,4174.02,6111,2017-01-10,Ventura County
2.0,3,1194,61666,1954,806.91,6037,2017-01-10,Los Angeles County
3.0,4,2108,254301,2010,5038.68,6037,2017-01-10,Los Angeles County
1.0,3,825,46477,1953,625.38,6037,2017-01-10,Los Angeles County
3.0,5,2947,650452,2008,8095.42,6037,2017-01-10,Los Angeles County
2.0,2,1466,92531,1949,1318.38,6037,2017-01-10,Los Angeles County
